"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,CA,"Combined Heat and Power, Commercial Power",Total,244438
2016,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,776
2016,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,159914
2016,1,CA,"Combined Heat and Power, Commercial Power",Other,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,48
2016,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,5560
2016,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,77703
2016,1,CA,"Combined Heat and Power, Commercial Power",Wind,437
2016,1,CA,"Combined Heat and Power, Electric Power",Total,1359770
2016,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2016,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,1277833
2016,1,CA,"Combined Heat and Power, Electric Power",Other,2701
2016,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,9549
2016,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,69686
2016,1,CA,"Electric Generators, Independent Power Producers",Total,6286195
2016,1,CA,"Electric Generators, Independent Power Producers",Geothermal,955283
2016,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,52944
2016,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,3527763
2016,1,CA,"Electric Generators, Independent Power Producers",Other,10282
2016,1,CA,"Electric Generators, Independent Power Producers",Petroleum,451
2016,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,741844
2016,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,146325
2016,1,CA,"Electric Generators, Independent Power Producers",Wind,700295
2016,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,151007
2016,1,CA,"Electric Generators, Electric Utilities",Total,5721352
2016,1,CA,"Electric Generators, Electric Utilities",Geothermal,72615
2016,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,-98440
2016,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1036549
2016,1,CA,"Electric Generators, Electric Utilities",Natural Gas,2955072
2016,1,CA,"Electric Generators, Electric Utilities",Nuclear,1690198
2016,1,CA,"Electric Generators, Electric Utilities",Other,139
2016,1,CA,"Electric Generators, Electric Utilities",Petroleum,2716
2016,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,22575
2016,1,CA,"Electric Generators, Electric Utilities",Other Biomass,19534
2016,1,CA,"Electric Generators, Electric Utilities",Wind,20394
2016,1,CO,Total Electric Power Industry,Total,4738146
2016,1,CO,Total Electric Power Industry,Coal,2749897
2016,1,CO,Total Electric Power Industry,Pumped Storage,-26170
2016,1,CO,Total Electric Power Industry,Hydroelectric Conventional,180625
2016,1,CO,Total Electric Power Industry,Natural Gas,1020207
2016,1,CO,Total Electric Power Industry,Other,4208
2016,1,CO,Total Electric Power Industry,Petroleum,409
2016,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,19661
2016,1,CO,Total Electric Power Industry,Other Biomass,8204
2016,1,CO,Total Electric Power Industry,Wind,781106
2016,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2016,1,CO,"Combined Heat and Power, Industrial Power",Total,4984
2016,1,CO,"Combined Heat and Power, Industrial Power",Coal,316
2016,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,1473
2016,1,CO,"Combined Heat and Power, Industrial Power",Other,2986
2016,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,3
2016,1,CO,"Combined Heat and Power, Industrial Power",Wind,206
2016,1,CO,"Combined Heat and Power, Commercial Power",Total,1224
2016,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,571
2016,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,0
2016,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2016,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,446
2016,1,CO,"Combined Heat and Power, Commercial Power",Wind,206
2016,1,CO,"Combined Heat and Power, Electric Power",Total,19452
2016,1,CO,"Combined Heat and Power, Electric Power",Coal,5616
2016,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,9695
2016,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,4142
2016,1,CO,"Electric Generators, Independent Power Producers",Total,974285
2016,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,16536
2016,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,161241
2016,1,CO,"Electric Generators, Independent Power Producers",Other,1222
2016,1,CO,"Electric Generators, Independent Power Producers",Petroleum,0
2016,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,19215
2016,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,4062
2016,1,CO,"Electric Generators, Independent Power Producers",Wind,772008
2016,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,0
2016,1,CO,"Electric Generators, Electric Utilities",Total,3738202
2016,1,CO,"Electric Generators, Electric Utilities",Coal,2743965
2016,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,-26170
2016,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,163518
2016,1,CO,"Electric Generators, Electric Utilities",Natural Gas,847798
2016,1,CO,"Electric Generators, Electric Utilities",Petroleum,406
2016,1,CO,"Electric Generators, Electric Utilities",Wind,8685
2016,1,CO,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2016,1,CT,Total Electric Power Industry,Total,3191322
2016,1,CT,Total Electric Power Industry,Coal,43863
2016,1,CT,Total Electric Power Industry,Pumped Storage,3445
2016,1,CT,Total Electric Power Industry,Hydroelectric Conventional,47429
2016,1,CT,Total Electric Power Industry,Natural Gas,1561192
2016,1,CT,Total Electric Power Industry,Nuclear,1395804
2016,1,CT,Total Electric Power Industry,Other,52263
2016,1,CT,Total Electric Power Industry,Petroleum,6773
2016,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,850
2016,1,CT,Total Electric Power Industry,Other Biomass,55941
2016,1,CT,Total Electric Power Industry,Wind,1322
2016,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,22440
2016,1,CT,"Combined Heat and Power, Industrial Power",Total,41198
2016,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,40650
2016,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,547
2016,1,CT,"Combined Heat and Power, Commercial Power",Total,34673
2016,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,34074
2016,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,599
2016,1,CT,"Combined Heat and Power, Electric Power",Total,17463
2016,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,17243
2016,1,CT,"Combined Heat and Power, Electric Power",Petroleum,220
2016,1,CT,"Electric Generators, Independent Power Producers",Total,3093398
2016,1,CT,"Electric Generators, Independent Power Producers",Coal,43863
2016,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,3445
2016,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,43655
2016,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,1469225
2016,1,CT,"Electric Generators, Independent Power Producers",Nuclear,1395804
2016,1,CT,"Electric Generators, Independent Power Producers",Other,52263
2016,1,CT,"Electric Generators, Independent Power Producers",Petroleum,4590
2016,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,850
2016,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,55941
2016,1,CT,"Electric Generators, Independent Power Producers",Wind,1322
2016,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,22440
2016,1,CT,"Electric Generators, Electric Utilities",Total,4590
2016,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3774
2016,1,CT,"Electric Generators, Electric Utilities",Natural Gas,0
2016,1,CT,"Electric Generators, Electric Utilities",Petroleum,816
2016,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2016,1,DC,Total Electric Power Industry,Total,5008
2016,1,DC,Total Electric Power Industry,Natural Gas,4991
2016,1,DC,Total Electric Power Industry,Petroleum,18
2016,1,DC,Total Electric Power Industry,Other Biomass,0
2016,1,DC,"Combined Heat and Power, Commercial Power",Total,5008
2016,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,4991
2016,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,18
2016,1,DC,"Combined Heat and Power, Electric Power",Total,0
2016,1,DC,"Combined Heat and Power, Electric Power",Natural Gas,0
2016,1,DC,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,DE,Total Electric Power Industry,Total,535119
2016,1,DE,Total Electric Power Industry,Coal,130283
2016,1,DE,Total Electric Power Industry,Natural Gas,357177
2016,1,DE,Total Electric Power Industry,Other Gases,18672
2016,1,DE,Total Electric Power Industry,Petroleum,20048
2016,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,2073
2016,1,DE,Total Electric Power Industry,Other Biomass,6387
2016,1,DE,Total Electric Power Industry,Wind,479
2016,1,DE,"Combined Heat and Power, Industrial Power",Total,91956
2016,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,72186
2016,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,18672
2016,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2016,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,1098
2016,1,DE,"Combined Heat and Power, Commercial Power",Total,499
2016,1,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,20
2016,1,DE,"Combined Heat and Power, Commercial Power",Wind,479
2016,1,DE,"Combined Heat and Power, Electric Power",Total,23021
2016,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2016,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,22753
2016,1,DE,"Combined Heat and Power, Electric Power",Petroleum,269
2016,1,DE,"Electric Generators, Independent Power Producers",Total,416988
2016,1,DE,"Electric Generators, Independent Power Producers",Coal,130283
2016,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,260212
2016,1,DE,"Electric Generators, Independent Power Producers",Petroleum,19416
2016,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1789
2016,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,5289
2016,1,DE,"Electric Generators, Electric Utilities",Total,2655
2016,1,DE,"Electric Generators, Electric Utilities",Natural Gas,2026
2016,1,DE,"Electric Generators, Electric Utilities",Petroleum,364
2016,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,265
2016,1,FL,Total Electric Power Industry,Total,18001623
2016,1,FL,Total Electric Power Industry,Coal,2552523
2016,1,FL,Total Electric Power Industry,Hydroelectric Conventional,28861
2016,1,FL,Total Electric Power Industry,Natural Gas,11760027
2016,1,FL,Total Electric Power Industry,Nuclear,2748710
2016,1,FL,Total Electric Power Industry,Other Gases,337
2016,1,FL,Total Electric Power Industry,Other,266918
2016,1,FL,Total Electric Power Industry,Petroleum,224078
2016,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,8948
2016,1,FL,Total Electric Power Industry,Other Biomass,235408
2016,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,175813
2016,1,FL,"Combined Heat and Power, Industrial Power",Total,446684
2016,1,FL,"Combined Heat and Power, Industrial Power",Coal,18224
2016,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,121467
2016,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,337
2016,1,FL,"Combined Heat and Power, Industrial Power",Other,127875
2016,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,2354
2016,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,29793
2016,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,146634
2016,1,FL,"Combined Heat and Power, Commercial Power",Total,7610
2016,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,2785
2016,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2016,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,68
2016,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,4756
2016,1,FL,"Combined Heat and Power, Electric Power",Total,347796
2016,1,FL,"Combined Heat and Power, Electric Power",Coal,0
2016,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,328408
2016,1,FL,"Combined Heat and Power, Electric Power",Petroleum,1
2016,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,14009
2016,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,5377
2016,1,FL,"Electric Generators, Independent Power Producers",Total,608910
2016,1,FL,"Electric Generators, Independent Power Producers",Coal,0
2016,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,259803
2016,1,FL,"Electric Generators, Independent Power Producers",Other,139043
2016,1,FL,"Electric Generators, Independent Power Producers",Petroleum,903
2016,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2600
2016,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,182760
2016,1,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,23801
2016,1,FL,"Electric Generators, Electric Utilities",Total,16590623
2016,1,FL,"Electric Generators, Electric Utilities",Coal,2534299
2016,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,28861
2016,1,FL,"Electric Generators, Electric Utilities",Natural Gas,11047563
2016,1,FL,"Electric Generators, Electric Utilities",Nuclear,2748710
2016,1,FL,"Electric Generators, Electric Utilities",Petroleum,220821
2016,1,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,6279
2016,1,FL,"Electric Generators, Electric Utilities",Other Biomass,4090
2016,1,GA,Total Electric Power Industry,Total,11323408
2016,1,GA,Total Electric Power Industry,Coal,2967329
2016,1,GA,Total Electric Power Industry,Pumped Storage,47023
2016,1,GA,Total Electric Power Industry,Hydroelectric Conventional,568537
2016,1,GA,Total Electric Power Industry,Natural Gas,4202474
2016,1,GA,Total Electric Power Industry,Nuclear,3041538
2016,1,GA,Total Electric Power Industry,Other,8726
2016,1,GA,Total Electric Power Industry,Petroleum,42211
2016,1,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,28738
2016,1,GA,Total Electric Power Industry,Other Biomass,31986
2016,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,384846
2016,1,GA,"Combined Heat and Power, Industrial Power",Total,442713
2016,1,GA,"Combined Heat and Power, Industrial Power",Coal,17926
2016,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,2223
2016,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,48250
2016,1,GA,"Combined Heat and Power, Industrial Power",Other,8726
2016,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,12856
2016,1,GA,"Combined Heat and Power, Industrial Power",Other Biomass,15324
2016,1,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,337408
2016,1,GA,"Combined Heat and Power, Commercial Power",Total,1391
2016,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2016,1,GA,"Combined Heat and Power, Commercial Power",Petroleum,467
2016,1,GA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,117
2016,1,GA,"Combined Heat and Power, Commercial Power",Other Biomass,807
2016,1,GA,"Combined Heat and Power, Electric Power",Total,22704
2016,1,GA,"Combined Heat and Power, Electric Power",Natural Gas,18029
2016,1,GA,"Combined Heat and Power, Electric Power",Petroleum,3743
2016,1,GA,"Combined Heat and Power, Electric Power",Other Biomass,932
2016,1,GA,"Electric Generators, Independent Power Producers",Total,844309
2016,1,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,1749
2016,1,GA,"Electric Generators, Independent Power Producers",Natural Gas,739487
2016,1,GA,"Electric Generators, Independent Power Producers",Petroleum,15740
2016,1,GA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,24971
2016,1,GA,"Electric Generators, Independent Power Producers",Other Biomass,14923
2016,1,GA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,47438
2016,1,GA,"Electric Generators, Electric Utilities",Total,10012291
2016,1,GA,"Electric Generators, Electric Utilities",Coal,2949403
