"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2
2016,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,030"
2016,1,AZ,"Combined Heat and Power, Electric Power",Total,259
2016,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,259
2016,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AZ,"Electric Generators, Independent Power Producers",Total,"981,145"
2016,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"741,588"
2016,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"176,319"
2016,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"3,720"
2016,1,AZ,"Electric Generators, Independent Power Producers",Wind,"42,394"
2016,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"17,123"
2016,1,AZ,"Electric Generators, Electric Utilities",Total,"7,599,074"
2016,1,AZ,"Electric Generators, Electric Utilities",Coal,"2,664,710"
2016,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,-688
2016,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"617,293"
2016,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"1,284,190"
2016,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"3,002,325"
2016,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"2,534"
2016,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"28,710"
2016,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2016,1,CA,Total Electric Power Industry,Total,"14,894,445"
2016,1,CA,Total Electric Power Industry,Coal,"29,285"
2016,1,CA,Total Electric Power Industry,Geothermal,"1,027,898"
2016,1,CA,Total Electric Power Industry,Pumped Storage,"-98,440"
2016,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"1,090,269"
2016,1,CA,Total Electric Power Industry,Natural Gas,"8,918,847"
2016,1,CA,Total Electric Power Industry,Nuclear,"1,690,198"
2016,1,CA,Total Electric Power Industry,Other Gases,"155,733"
2016,1,CA,Total Electric Power Industry,Other,"66,807"
2016,1,CA,Total Electric Power Industry,Petroleum,"3,336"
2016,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"770,435"
2016,1,CA,Total Electric Power Industry,Other Biomass,"253,532"
2016,1,CA,Total Electric Power Industry,Wind,"721,428"
2016,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"265,118"
2016,1,CA,"Combined Heat and Power, Industrial Power",Total,"1,282,690"
2016,1,CA,"Combined Heat and Power, Industrial Power",Coal,"29,285"
2016,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"998,264"
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"155,733"
2016,1,CA,"Combined Heat and Power, Industrial Power",Other,"53,684"
2016,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,121
2016,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,456
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,421
2016,1,CA,"Combined Heat and Power, Industrial Power",Wind,301
2016,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"44,425"
2016,1,CA,"Combined Heat and Power, Commercial Power",Total,"244,438"
2016,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,776
2016,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"159,914"
2016,1,CA,"Combined Heat and Power, Commercial Power",Other,0
2016,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,48
